#id,rmsid,name,type,ra,dec,flux8,flux12,flux14,flux21,jmag,hmag,kmag,vlsr,rgc,kds,d,blank,firlum,firflux,blank2,GAL_LONG,GAL_LAT
70,2630,G015.0286-00.6981,Diffuse HII region,20:28.8,-16:12:29.5,63.741,180.51,343.55,517.47,15.6,13.9,12,-999,-999,-999,2.0,-999,6.50E+04,MSX,,15.02864636,-0.698230554
71,2626,G015.0292-00.6947,Diffuse HII region,20:28.1,-16:12:21.6,35.111,174.04,272.77,558.3,14.4,12.3,12,20.6,6.3,-999,2.0,-999,7.10E+04,MSX,,15.02931821,-0.694831944
72,2621,G015.0357-00.6795,HII region,20:24.8,-16:11:35.1,41.377,123.69,264.91,1000,-999,-999,-999,20.3,6.3,n,2.0,-999,1.30E+05,MSX,,15.03454239,-0.67720401
73,2564,G015.0755-00.1212,Diffuse HII region,18:27.3,-15:53:39.4,1.59,3.054,2.95,6.5,15.1,13.8,13,47.6,4.6,?,4.0,-999,6.0e+03/5.8e+04,MIPS/IGA,,15.07559168,-0.121341478
74,2639,G015.0812-00.6879,Diffuse HII region,20:32.7,-16:09:25.2,29.6,82.745,137.06,215.7,12.7,13.5,12.3,21.8,6.2,nz,2.0,-999,2.70E+04,MSX,,15.08123271,-0.688006793
75,2535,G015.0939+00.1913,YSO?,17:20.9,-15:43:45.9,2.225,2.489,3.33,5.01,13.6,12.4,11.1,30.2,5.6,nsa?,3.1,-999,1.10E+03,MIPS/IGA,,15.09443268,0.191410279
76,2642,G015.1288-00.6717,YSO?,20:34.6,-16:06:28.2,7.708,10.892,13.07,90.03,12.9,10.5,8.9,22.7,6.1,nz,2.0,-999,1.10E+04,MSX,,15.12816545,-0.671507796
77,2575,G015.1834-00.1621,HII region?,18:49.0,-15:49:06.9,1.362,1.312,1.88,12.83,16.5,13.9,12.1,-999,-999,-999,-999.0,-999,-999,IRAS,,15.18347604,-0.162201029
78,2643,G015.2113-00.6286,HII region??,20:35.0,-16:00:51.4,3.841,8.242,10.75,44.21,15.3,14,13.3,-999,-999,-999,-999.0,-999,-999,MSX,,15.21136515,-0.628689335
79,2682,G015.4528-00.8582,YSO?,21:53.9,-15:54:33.1,0.12,0.585,0.97,6.61,13.6,12.3,11.5,-999,-999,-999,-999.0,,-999,IRAS,,15.45292554,-0.858266783
80,2601,G015.4805-00.3900,Diffuse HII region?,20:14.1,-15:39:51.4,0.227,-0.694,1.04,2.8,10.9,10.7,12.6,40.7,5,?,4.0,-999,1.4e+03/1.4e+04,MIPS/IGA,,15.48066729,-0.390039385
81,2594,G016.1438+00.0074,HII region,20:04.7,-14:53:26.0,0.77,0.594,0.91,3.13,-999,-999,-999,45.7,4.8,?,4.0,-999,2.90E+03,MIPS/IGA,,16.14491914,0.008546936
82,2599,G016.2443+00.0371,Diffuse HII region,20:10.1,-14:47:21.8,0.165,0.563,0.95,3.63,12.8,11.4,10.7,25.5,6,fhii?,13.7,-999,933,MIPS/IGA,,16.24436001,0.037138885
83,2677,G016.3617-00.2079,Diffuse HII region,21:17.4,-14:48:05.0,7.315,9.936,7.34,19.39,15.4,13.8,12.9,48.9,4.7,nsa,4.0,-999,1.60E+04,MIPS/IGA,,16.36170589,-0.207965813
84,2512,G016.7122+01.3119,YSO?,16:26.4,-13:46:24.4,1.192,1.144,1.22,3.01,13.4,10.7,8.7,19.8,6.5,nz,2.0,-999,1.60E+03,MIPS/IGA,,16.71154294,1.313692196
85,2659,G016.7981+00.1264,YSO,20:55.3,-14:15:30.8,5.396,11.376,14.31,25.46,15.8,12.7,9.7,15,6.9,-999,2.0,-999,2.60E+03,MIPS/IGA,,16.79851194,0.12648581
86,2563,G016.8055+00.8149,YSO?,18:26.0,-13:55:37.9,1.124,2.144,3.54,3.88,18.1,16.9,14.3,19.4,6.5,nz,2.0,-999,501,MSX,,16.80563321,0.814917166
87,2810,G016.8689-02.1552,YSO,29:24.3,-15:15:42.1,0.888,1.637,3.24,21.88,-999,-999,-999,18.1,6.7,nz,2.0,-999,6.60E+03,MIPS/IGA,,16.86900757,-2.155356745
88,2645,G016.9261+00.2854,YSO,20:35.4,-14:04:13.9,4.519,6.395,8.86,12.48,15.4,13.3,9.9,24.2,6.2,-999,2.0,-999,2.40E+03,MIPS/IGA,,16.9265914,0.285780728
89,2547,G016.9270+00.9599,YSO,18:08.6,-13:45:07.0,8.318,10.288,8.66,28.37,17.6,12.6,9.4,20.4,6.5,nz,2.0,-999,5.20E+03,MIPS/IGA,,16.92681074,0.959650707
90,2577,G016.9512+00.7806,YSO,18:50.5,-13:48:54.3,2.065,3.907,1.96,5.64,13.6,13.2,11.5,22.3,6.3,nz,2.0,-999,1.10E+03,MIPS/IGA,,16.95134621,0.780582918
91,4875,G016.9658+00.7889,Diffuse HII region,18:50.4,-13:47:54.2,0.253,0.855,0.76,3.11,15.4,14.4,13.8,22.4,6.3,-999,2.3,-999,538/1.9e+04,MSX,,16.9658654,0.788835247
92,2572,G017.0217+00.8442,YSO?,18:45.0,-13:43:19.3,0.409,1.009,1.16,2.79,13,11.1,9.8,-999,-999,-999,-999.0,-999,-999,MSX,,17.02287079,0.8441017
93,2583,G017.0332+00.7476A,YSO,19:07.3,-13:45:23.6,1.525,2.62,2.02,5.57,-999,-999,-999,24,6.2,nz,2.0,-999,1.60E+03,MIPS/IGA,,17.03518488,0.748138173
94,2583,G017.0332+00.7476B,HII region,19:07.2,-13:45:30.2,1.525,2.62,2.02,5.57,15.7,14.4,13.2,24,6.2,nz,2.0,-999,620,MIPS/IGA,,17.0333587,0.747663888
95,2587,G017.0666+00.6826,YSO,19:25.3,-13:45:35.7,0.43,1.564,3.41,4.25,16.4,13.9,11.1,22,6.4,nz,2.0,-999,354,MIPS/IGA,,17.06664929,0.682348458
96,2688,G017.1141-00.1130,HII region,22:24.2,-14:05:32.5,1.891,2.455,1.89,8.65,16.2,13.9,13.2,93.1,3.4,-999,5.8,-999,1.5e+04/4.8e+04,MIPS/IGA,,17.11409234,-0.112280671
97,2696,G017.2893-00.1982,Diffuse HII region,23:03.3,-13:58:40.4,0.87,1.903,1.91,4.27,13.8,12.6,12.1,44.5,5,nsa,3.8,-999,2.60E+03,MIPS/IGA,,17.28941153,-0.198225067
98,2478,G017.3765+02.2512,YSO,14:21.1,-12:44:33.1,3.926,6.932,9.6,14.57,13.8,11.3,9.2,10.9,7.4,nz,1.2,-999,912,MIPS/IGA,,17.37654772,2.251426805
99,2591,G017.4507+00.8118A,YSO,19:42.0,-13:21:36.7,1.308,1.033,1.37,4.64,13.8,13.1,12.8,22.5,6.4,nz,2.0,-999,1.10E+03,MIPS/IGA,,17.4508156,0.811774751
100,2591,G017.4507+00.8118B,YSO,19:42.4,-13:21:35.8,1.308,1.033,1.37,4.64,14.5,13,12,22.5,6.4,nz,2.0,-999,1.10E+03,MIPS/IGA,,17.45197384,0.810141631
101,2690,G017.6380+00.1566,YSO,22:26.4,-13:30:12.0,126.53,165.91,270.49,443.54,15,12.7,7.3,22.5,6.4,-999,2.0,-999,4.60E+04,MIPS/IGA,,17.63828669,0.156518652
102,2698,G017.9642+00.0798,YSO,23:20.8,-13:15:05.4,1.819,2.701,3.06,8.37,16.1,13.9,12.4,22.9,6.4,n,2.0,-999,2.00E+03,MIPS/IGA,,17.9642592,0.079725411
103,4883,G017.9789+00.2335,YSO,22:49.1,-13:10:01.5,0.34,-0.538,0.62,3.16,-999,-999,-999,14.1,7.1,-999,2.0,-999,620,MIPS/IGA,,17.97852373,0.232850542
104,2724,G018.1409-00.3021,Diffuse HII region,25:04.5,-13:16:26.7,4.6,10.678,13.32,57.63,13.4,12.5,11.3,57.8,4.6,n,4.1,-999,3.20E+04,MSX,,18.14100092,-0.30224787
105,2718,G018.1504-00.2794,HII region,25:00.6,-13:15:18.3,7.655,20.244,21.72,56.99,13,11.8,11.3,57.8,4.6,n,4.1,-999,3.20E+04,MSX,,18.15052181,-0.279601072
106,2715,G018.1968-00.1709,HII/YSO?,24:42.3,-13:09:47.8,0.376,0.997,1.61,4.49,15,13.2,12.2,-999,-999,-999,-999.0,-999,-999,MSX,,18.19696031,-0.17102731
107,2738,G018.3029-00.3910,HII region,25:42.5,-13:10:20.2,20.569,42.376,50.41,235.65,15.4,12.2,10.3,33.1,5.7,n,3.0,-999,4.30E+04,MIPS/IGA,,18.3030443,-0.391073517
108,2545,G018.3412+01.7681,YSO,17:58.1,-12:07:24.8,10.33,21.79,33.02,61.76,15.3,12.9,9.3,32.8,5.8,nz,2.0,-999,1.10E+04,MIPS/IGA,,18.34133596,1.768203219
109,2739,G018.3706-00.3818,YSO,25:48.4,-13:06:29.2,3.202,6.126,7.55,13.44,14.4,11.7,9.3,44.6,5.1,n,4.1,-999,4.90E+03,MIPS/IGA,,18.37093082,-0.382229368
110,2726,G018.6556-00.0590,HII region,25:10.7,-12:42:19.4,6.191,10.34,9.29,27.11,14.1,12.2,10.5,-999,-999,-999,-999.0,-999,-999,IRAS,,18.65573825,-0.059114055
111,2716,G018.6608+00.0372,YSO,24:50.2,-12:39:22.4,0.491,1.349,2.72,4.57,-999,-999,-999,80.3,3.9,f,10.9,-999,2.00E+04,MIPS/IGA,,18.66024127,0.037572456
112,2541,G018.6696+01.9631,Diffuse HII region?,17:54.1,-11:44:32.2,2.527,10.876,18.9,34.21,15.6,14.1,13.2,33.1,5.8,nz,2.0,-999,4.40E+03,MSX,,18.66964718,1.963055452
113,2708,G018.7621+00.2634,HII region,24:12.9,-12:27:41.2,0.94,0.969,1.35,6.95,-999,-999,-999,20.3,6.6,f,14.1,-999,6.60E+04,MIPS/IGA,,18.76140427,0.262831133
114,2759,G018.8246-00.4673,HII region,26:59.0,-12:44:46.1,0.872,-0.455,1.82,15.77,15.4,14.6,13.2,64.6,4.4,n,4.6,-999,9.20E+03,MIPS/IGA,,18.82498418,-0.467435949
115,2760,G018.8319-00.4788,YSO,27:02.3,-12:44:38.3,1.178,2.147,1.72,3.43,17.8,14.9,11.4,65.8,4.4,n,4.6,-999,4.20E+03,MIPS/IGA,,18.83314684,-0.478295539
116,2749,G018.8330-00.3004,HII region,26:23.6,-12:39:41.0,1.96,4.015,6.69,13.2,-999,-999,-999,45.4,5.2,f,12.4,-999,8.90E+04,MIPS/IGA,,18.8329315,-0.300632153
117,2754,G019.0741-00.2861,HII region,26:48.1,-12:26:28.3,6.333,14.202,16.51,51.77,17.4,14.3,12.4,65.4,4.4,n,4.6,-999,1.70E+05,MIPS/IGA,,19.07419306,-0.286180902
118,2745,G019.4902+00.1350,HII region,26:04.3,-11:52:36.1,3.206,10.665,15.51,41.85,15.4,13.5,12.6,26.7,6.2,n,2.4,-999,5.80E+03,MIPS/IGA,,19.49030921,0.135054075
119,2818,G019.6053-00.9012,HII region,30:02.6,-12:15:23.7,4.641,8.613,9.43,26.16,-999,-999,-999,36.1,5.7,nz,12.6,-999,1.90E+05,MIPS/IGA,,19.60537682,-0.901299204
